Title,Release Date,Platform,Developer,Genre,Content
Adventure Original,1979,VCS,Atari,Adventure,"All the early adventure games on home computers were purely text based. Players would type in commands, such as “go north,” “drink potion,” “throw rock,” “kill snake,” and subsequently be rewarded with a paragraph or two informing them of just how their plan had played out. You needed a keyboard to make them work properly. In other words—and unless you were a fan of computer fonts—there wasn’t much in the way of spectacle along the way. Everything relied on imagination—a dangerous foundation on which to build a business. In 1979, however, all that changed when Atari effectively ported Will Crowther’s legendary text adventure, Colossal Cave Adventure, to its VCS home console. Somewhat basic graphics replaced the time-worn prose, the VCS’s controller stood in for the keyboard, and a rather primitive—but wonderfully evocative—genre took its first baby steps toward the elaborate and florid fantasy worlds available to today’s players. A programming marvel at the time, the game fit into the space of just 4K (by way of comparison, the standard Google logo takes up 8K). Adventure also provided the gaming world with one of its first Easter eggs. Designer Warren Robinett, tiring of his years of anonymous toil spent at the coal-face of game production, hid his name within one of the game’s rooms—a chamber that could only be opened by using a single-pixel key known as “The Dot.” Stiff as the challenge was, and slight the reward, it wasn’t long before someone had uncovered the secret and told everyone about it—proof that even in the early days of the genre, adventure games were already capable of generating real devotion in their audiences. Some things, then, never change."
Afrika Original,2008,PS3,Rhino Studios,Safari Simulation,"One of the more interesting PS3 exclusives, Afrika is a safari game that has you shooting the world’s most precious and enigmatic creatures—not with a gun, thankfully. You are a freelance photojournalist making a name in the plateau continent, working your way up through cameras, lenses, and unknowing subjects. Early assignments include nearby zebras and giraffes, but the commissions are rarely simple, often asking for a specific pose or close-up. Persist, though, through some timid early stages, and you’ll be treated to something wildly ambitious. Afrika brings to mind PlayStation series like Aquanaut’s Holiday and Everblue, but it places much greater emphasis on the realism of its world and virtual equipment. It’s hard to decide which is more nuanced: the camera that blurs if you shake the Sixaxis controller or the wildlife that noses tentatively around your jeep, balking at your approach and dashing—or, indeed, charging—with any sudden moves. All too often, whether by escaping it, exploiting it, or devaluing it with violence, gaming makes our world feel cheap; this one reminds us that it’s not."
Age of Empires II: The Age of Kings Original,1999,"PC, Mac ",Ensemble Studios,Strategy,"Age of Empires II: The Age of Kings is a perfectly measured real-time strategy game that followed the success of Microsoft’s first Age of Empires title. It’s set in the Middle Ages, but it’s inspired by the real thing rather than obsessed with it: the historical environment provides atmosphere and setting rather than a straitjacket. It offers a pretext for the thirteen playable nations, and for the technology progression within the game, allowing players to build towns, raise armies, and advance from one age to the next. Those nations are drawn from all over the globe, from the Britons and Celts to the Goths, Mongols, and Japanese, and those ages range from the Dark Ages at the start of the game to the Imperial Age by its end. Throughout them all, across several single-player campaigns and potentially never-ending multiplayer contests, the object remains the same: gather food, wood, gold, and stone, and use them to build your civilization, harvesting enough resources to support a population big enough to sustain an empire. Many of the game’s innovations in interface design and streamlined control found their way into various subsequent RTS titles: being able to spot idle builders so you can set them to work, for example, or the ease with which units can be grouped together and put in formation to grant armchair generals more nuanced control over their armies. Such was the overwhelming critical acclaim and its popularity on the PC and Mac that the game was even the unlikely recipient of a home-console port, appearing on the PlayStation 2, and a handheld version on the Nintendo DS, as well as a spin-off released in 2000. But it is the 1999 computer game that is the definitive version, going down in history as one of the most outstanding examples of the RTS genre."
Age of Empires Original,1997,PC,Ensemble Studios,Strategy,"While advances in video games are typically characterized by leaps in technology or game play innovation, lateral crossover is also important. Like some novel technology concocted in one of its temples, Age of Empires crossed two existing game play templates and boiled down the result to produce a new branch in strategy gaming. The first parent was Civilization, Sid Meier’s brilliant 1991 title. Devotees loved it, but its complexity and turn-based mechanics put off many more. By the mid-’90s, real-time strategy offered a more accessible way for armchair generals to marshal their forces. The bestselling strategy games—Command & Conquer and Warcraft —and their copycats were science-fiction or fantasy affairs. What Ensemble Studios (including designer Bruce Shelley, who worked on Civilization with Meier) did was meld Civilization’s historical trappings and empire building idea with the genre’s game play and pretty graphics. The result, Age of Empires, was an approachable take on dictatorship with enough historical finery to satisfy all but the most bookish rulers. Assuming leadership of one of a dozen peoples, from the Greeks and the Babylonians to the Japanese Yamato civilization, you guide your race from being hunter gatherers through several transitions to create a dominant Iron Age culture. The twelve civilizations are divided into four main groups, each one with its own distinctive architectural style. The emphasis is on military progression, though victory conditions include building a Wonder, such as an Egyptian pyramid. On the fighting front, dubious artifical intelligence, later patched, let things down. Still, Rome wasn’t built in a day, and Age of Empires launched a globe-conquering franchise that eventually sold twenty million units."
Age of Empires: Mythologies Original,2008,DS,Ensemble Studios / Griptonite Games,Strategy,"In the beginning, there were Age of Empires and Age of Empires II, both superb real-time strategy games for the PC. Out of these evolved Age of Mythology, another outstanding PC game, and finally there came Age of Empires: Mythologies, a brilliant turn-based strategy title on the Nintendo DS. And the clue’s in the title: while Age of Empires plundered history for inspiration, the Mythology games ransack myth and legend, drawing on the ancient cultures of Egypt, Greece, and Scandinavia to bestow armchair generals with a touch of the divine. The relocation to the DS forces a transformation from real-time strategy to turn-based tactics, but the essentials remain true to the series: simple-but-deep resource gathering and base-building support the rise of armies that are put to work wiping out your enemies. Of greatest interest are the resources themselves: gold and food are normal enough, but it’s divine favor that makes the difference. And although it dispenses with history, advancing through the epochs still plays as important a part of Age of Empires: Mythologies as it did in the earlier games, opening up new technologies and units and granting access to better godly powers. The Greeks start out with the support of Zeus, for example, but they also get to acquire the favor of other gods, like Athena and Heracles, as they pass through the game’s different eras. Those eras span twenty-four lengthy missions and a host of multiplayer options supporting online, hotseat, and wireless download play. It’s a comprehensive package of perfectly balanced strategy gaming that demonstrates the timeless appeal of the Age of Empires series, able to endure its own journey through the ages."
Age of Mythology Original,2002,"PC, Mac ",Ensemble Studios,Strategy,"Ensemble didn’t take risks. It didn’t have to. From the moment the historical build ’n’ bash Age of Empires launched in 1997, its course was set: It would be populist king of real-time strategy, absurdly successful regardless of whatever doomsayers might claim about the PC and Mac platforms. That owner Microsoft closed the studio in 2009 didn’t seem to add up: No developer knew how to be a reliable money-factory quite as well as Ensemble. Age of Mythology, the studio’s first game for Microsoft, doesn’t take risks either. It does quite the opposite, dragging the fantastical elements that less successful rivals tend toward into its own straitlaced but highly polished strategy structure: harvesting wood and stone, building bases in an exact order, deftly making every unit a precise rock to some other soldier’s paper or scissor. Ensemble took someone else’s risk and made it into the most sensible thing in the world. It has minotaur and sphinx and valkyrie, but somehow they’re not an outlandish presence among the more familiar cavalry and archers. Instead, they’re smart, strategic high-end units, vital to tipping the game’s mathematically precise balance in your favor. Age of Mythology knows exactly what it’s doing, and being in the company of mythical beasts doesn’t change the cast-iron formula one jot. Age of Mythology may have played it safe, but it did suggest Ensemble might be a little more playful from thereon in. That didn’t happen. Next in line came the button-downed Age of Empires III, and then Halo Wars as a confident dying gasp. That leaves Age of Mythology as an aberration: perhaps the only game where this one-time king of studios allowed its own character to appear alongside its unsullied strategy-design skill."
Alex Kidd in Miracle World Original,1986,Master System,Sega,Platform,"If you had a sleek black Sega Master System instead of a bulky old NES in the late 1980s, Alex Kidd was probably your Mario—or at least you told yourself he was. And yet, while this perky hydrocephalus may not have left the mightiest imprint on posterity, for a certain kind of social outcast, the very mention of Miracle World is enough to thrust one back into the smoky depths of Proustian reverie. While it’s certainly no Mushroom Kingdom, Miracle World isn’t a bad playground: There are bikes and aircraft to ride, shops to visit, octopode to fight—when it comes down to it, Alex Kidd can grow a fist every bit as large as his head, which is extremely handy for taking on the local wildlife—and a surprisingly wide range of environments, from rocky canyons to magma-filled volcanoes, to explore. The music that chugs brightly from the Master System’s limited sound chip is among the best the platform ever delivered. There’s even a band of hand-headed foes ready to pop up at unlikely moments and engage you in fierce bouts of Rock, Paper, Scissors (and intrude into your nightmares from that point onward)—a horribly random piece of game design that, luckily, you can cheat your way past if you remember the special combination of button presses to reveal your enemies’ thoughts. It’s all very colorful and fast-paced, and while it doesn’t have the same sense of inertial physics that makes Mario and his gang such a pleasure to throw around, it’s still got some nicely designed levels and a wicked difficulty curve. But as an example of 1980s platforming craftsmanship, Alex Kidd in Miracle World is charming and zippy—if ever so slightly forgettable. As a rare glimpse into Mario’s forgotten competitors, however, it’s a brilliant find, and well worth tracking down."
Alien Soldier Original,1995,Mega Drive,Treasure,Shoot ’Em Up,"Treasure, so the story goes, once plotted a graph of the excitement a gamer experiences when playing one of their games, and discovered that the high points were invariably to be found during the boss battles. If that’s the case, Japan’s best-loved boutique developer concluded, then why not make a game that consists primarily of boss battles and not a lot else? Alien Soldier was the prime beneficiary of this train of thought, being a side-scrolling run-and-gun shooter that, in many ways, represents the pinnacle of Treasure’s exemplary work throughout the Sega Mega Drive era. With thirty-one bosses spread throughout its twenty-five levels, it’s also one of the most exciting and intense experiences in the canon, a machine-gun volley of sprites that the hero, Epsilon Eagle, must dodge through and shoot down. There are only two levels of difficulty in Alien Soldier— Supereasy and Superhard—but the truth is that the game is extremely challenging no matter which is picked. The principle difference between the two is the loss of soft saves and continues in the latter option. Far less accessible than Treasure’s earlier classic, Gunstar Heroes (1993), Alien Soldier nevertheless features a similar multiple-weapon combination system, one that must be carefully learned and mastered if you’re to have any hope of making it through the game. Released toward the end of the system’s life, Alien Soldier is now one of the Mega Drive’s most expensive titles as it enjoyed only a small print run and never even made it to American shores. A few bugs were introduced into the English-language version, ensuring that the Japanese release is the premium edition. Today, it is also available to play on Nintendo Wii’s Virtual Console."
Alien Zombie Death Original,2010,PSP,Pom Pom Games,Shoot ’Em Up,"“You are a lone spaceman doing something or other on a mining platform floating around a random planet. They are the Alien Zombies, intent on the destruction of all spacemen doing stuff . . . In space.” So begins the first page of instructions. If the title hadn’t already given you a good idea of what this game is about, such an introduction leaves you in no doubt whatsoever. Along with other British developers, such as Bizarre Creations, PomPom knows a thing or two about retro-styled shooters, and enjoyed success on Xbox Live Arcade with Mutant Storm Reloaded before turning its sights on PlayStation Minis. The disregard for anything more than the barest contextualizing hints at Alien Zombie Death’s pure gaming focus. But despite the lack of any real story, there is a huge amount of character to be found in this focused microcosm. Seven planets represent the available levels, each flanked by a moon offering an intensified remix of its gravitational partner. The mining platforms consist of several layers on which you can ascend and descend, using the D-pad or analog nub, and firing is handled by the square and circle buttons for left and right respectively. What initially feels like an awkward setup soon comes into its own as the alien zombies (some shuffling, some flying, but all able to change layers on the platform) begin to fill the level, and running in one direction while firing in the other becomes paramount. Other perils must also be avoided, not least the zombies’ bullets, but also electrified beams and buzz saws. The occasional passing UFO can be shot down for additional points, and getting those points, raising your last score by even a little, becomes compulsively enjoyable. This is a great twin-stick shooter in every respect—apart from the sticks."
Aliens Versus Predator Original,1999,"PC, Mac ",Rebellion,First-Person Shooter,"How ironic that the species best served by Aliens Versus Predator is the one left out by its title: us. The Colonial Marine campaign, set on the same planetoid LV-426 as Ridley Scott’s movie and James Cameron’s sequel, is one of the most terrifying survival horrors ever made, not to mention the best of more than thirty adaptations of Fox’s towering franchises. Actually the second of Rebellion’s stabs at the license—the first, a similarly structured game for Atari’s Jaguar console, has long been considered a collector’s item—it’s no less effective today. The monsters may be “coming out the goddamn walls,” but the devil’s in the details. The rattle of the pulse rifle, the urgent pop of the motion detector, the screech of the xenomorphs. By getting those right, Aliens Versus Predator wins half the battle right away. In fact, it’s perhaps the only series entry after the movie Aliens to observe its golden rule: that you should only see the aliens in the seconds before the kill. In the utterly oppressive corridors of the isolated, desolate colony, it has you shooting at shadows the rest of the time. The other two thirds of the game are pure role-play and wish fulfillment, adding two kinds of stealth to its feature list. The predator campaign, which visits three planets, including the third movie’s prison colony, Fiorina 161, lets the weapons—the blades, plasma caster, and cloaking device—define the role, meaning you’re always outnumbered but never outgunned. The xenomorph, meanwhile, lets you marvel at this ultimate killing machine from the inside. Its dizzying ability to climb every surface provides a liberating, demanding control system while its field of vision, complete with fish-eye effect, gives you a great impression of speed and a unique perspective."
Alone in the Dark Original,1992,Various,Infogrames,Survival Horror,"The fixed camera, the early 3-D graphics, the dreamlike sense of only partial control—the origins of survival horror can indeed be traced to Alone in the Dark. While it’s true that Sweet Home, a 1989 movie tie-in for the NES, had just as direct an influence over Resident Evil, the use of polygonal characters over prerendered backdrops was even greater. This technological breakthrough, one of the first and most important of the 3-D era, would, in one way or another, come to define Capcom’s series for more than fifteen successful years. Even Resident Evil 5, a game that promised a break from the so-called “tank” control scheme, feels haunted by it. The similarities begin early, players choosing one of two characters, a man or a woman, before braving the game’s story. Edward Carnby is a private investigator sent to recover a prized piano from an antique dealer’s loft. Emily Hartwood is after it too, but only to recover a hidden suicide note from her late uncle Jeremy. Both paths lead to Derceto, a haunted mansion in rural Louisiana, where the truth is protected by monsters, booby traps, and hidden manuscripts, all inspired by the Cthulhu Mythos, the universe created by American horror writer H. P. Lovecraft. The mix of zombies, mutant wildlife, escape scenario, and puzzle solving will strike an even louder chord with Resident Evil fans—as will the game’s promise of “a paralyzing sense of personal danger”—though the lack of military themes gives it a more domestic weapon set. The lack of textures for its polygons, meanwhile, creates what’s rightly been called an “origami” look, its models evolving from those of Flashback and Prince of Persia and never quite blending into the backgrounds. The years have been kindest to the fixed camera system, a gimmick made convention by its use elsewhere."
Alter Ego Original,1986,"Commodore 64, Apple II ",Activision,Role-Playing,"Billed as “a role-playing game about life,” Alter Ego is the apotheosis of idiosyncratic 1980s gaming development. Released in both male and female versions, the goal is to guide a virtual human personality through the seven stages of life, achieving emotional, vocational, and physical balance in the process—or just experimenting in order to create the most psychotic monster the process allows. Alter Ego could be viewed as a glorified Myers-Briggs psychometric questionnaire. At each stage of life, the player is presented with a map of icons representing experiences in various categories; clicking on these produces a series of multiple-choice questions designed to gauge the moral proclivities of the developing persona. As a baby there are the fundamental building blocks of social interaction—should you cry to get your mother’s attention or gurgle contentedly? In those awkward teen years, what do you do if a group of friends want to get drunk on a school night? And what of the balance between work and love? Notions of sex, suicide, and drug abuse are also deftly explored. The game keeps a life score based on the player’s choices, and the pithy commentary following each moral vignette hints at the wisdom (or otherwise) of the selected actions, proving intriguing insight into theories of human development. Critically lauded at the time (though not a commercial success), it was an interesting attempt to bring “realism” to the text-based adventure format of the day. The field of social and psychological simulation would later reach the mainstream via EA’s massively successful Sims series. But since Alter Ego is now available not only as a fan-produced online game but also an iPhone app, those reared on Will Wright’s vision of an interactive soap opera can now discover The Sims’ altogether darker, more troublesome progenitor."
Amplitude Original,2003,PS2,Harmonix,Music,"Despite being told by Microsoft that no rhythm game could succeed without a bespoke hardware controller, Harmonix secured enough cult appeal for the hypnotic Frequency that a sequel, Amplitude, preceded the switch to plastic guitars. With its predecessor’s tunnel of notes flattened to more of a wave, this glitzier effort was—perhaps rightly—accused of dumbing down an entirely successful formula. But if the first game felt like being shot through the synapses of a euphoric clubber, the second is more corporeal, with the player zapping notes that pass beneath a hovering spacecraft. Like Frequency, Amplitude is notable for providing the blueprint for the Guitar Hero and Rock Band games. Though it uses the PS2’s native controller, the arrangement of songs into an unlockable playlist featuring encore “boss battles” is entirely familiar; so too is the use of power-ups to create a score-attack framework. Fans who have devoted many hours to Amplitude will be delighted to know that Harmonix has expressed interest in continuing the franchise on PS3."
Animal Crossing Original,2001,GameCube,Nintendo,Life Simulation,"The Nintendo GameCube was armed with its own internal clock: a dull kind of feature, you might imagine, and something few people bothered to set properly before getting down to the likes of Luigi’s Mansion or F-Zero GX. Animal Crossing, however, makes absolutely brilliant use of this inclusion, using the passage of time to brew its own powerfully affecting spell. And it’s all so simple: you switch Animal Crossing on at nine in the morning, and most of your animal friends will be wide awake and bustling around your cobbled village, chatting, trading items, and going about their whimsical lives. Switch it on again at nine in the evening, and the majority of them will be in bed—the town square will be deserted, and warm lights will glow from the windows of comfy little cottages. Turn it on in the winter, and it will be snowing; turn it on in the autumn, and you can watch the leaves turning brown. (And if you turn it on during Groundhog Day, a jokey letter from your mom will be waiting for you in your mailbox.) It’s a very simple kind of magic, but one that ensures that Animal Crossing feels like very few other games. On the surface, it’s a bare-bones social simulator, plonking you into a village of strangers, lumbering you with a hefty mortgage to pay off and an empty house to fill with furniture, and pushing you out the door to make friends. In reality, however, it genuinely feels like a gateway to a different world: a bittersweet, somewhat capitalist fantasy land with quirky characters who are just as likely to sulk at you and move away as they are to shower you with gifts and empty pleasantries. The perfect example of a game rising above its core mechanics, then, Animal Crossing is smart, cynical, adorable, and worryingly capable of weaving its way into the fabric of real life."
